GPStime,peakFreq,snr,Standard example? (y/n)
1242267183.063,29.418,10.038,n
1239253285.625,31.59,8.78,n
1250781933.625,26.835,8.725,y
1241074342.875,31.509,61.216,y
1251537933.375,24.187,18.952,y
1248308235.375,29.493,13.559,y
1246068799.875,29.493,8.954,y
1246067569.375,32.11,13.728,y
1250053732.438,29.948,15.801,y
1239486566.313,29.137,8.673,y
1247529102.063,30.487,11.424,y
1238976660.125,25.414,8.018,y
1244952603.813,31.594,11.501,y
1250991641.688,30.487,10.935,y
1250781872.188,31.035,10.183,y
1250453558.938,29.418,7.926,y
1247673590.438,31.035,11.272,y
1240328327.875,30.417,9.6,y
1251540452.938,30.487,11.387,y
1250735663.813,27.393,8.7,y
1244987183.125,27.606,9.265,y
